product_id;brand;memory;smartphone_price;smartphone_promo_price;link;model;model_spec
2131682;Samsung;256 GB;999, €;899, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2131682&productName=Samsung Galaxy S23 5G#/category=Smartphones/pageNo=1;Galaxy S23;Galaxy S23 5G
2126485;Samsung;128 GB;279, €;249, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126485&productName=Samsung Galaxy A23 5G#/category=Smartphones/pageNo=4;Galaxy A23;Galaxy A23 5G
2131796;Samsung;256 GB;1.399, €;1.249, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2131796&productName=Samsung Galaxy S23 Ultra 5G#/category=Smartphones/pageNo=1;Galaxy S23;Galaxy S23 Ultra 5G
2126483;Samsung;128 GB;1.099, €;899, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126483&productName=Samsung Galaxy Z FLip4 5G#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Flip4 5G
2126491;Samsung;256 GB;1.799, €;1.499, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2126491&productName=Samsung Galaxy Z Fold4 5G#/category=Smartphones/pageNo=2;Galaxy Z;Galaxy Z Fold4 5G
3300070;Xiaomi;256 GB;499, €;449, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300070&productName=Xiaomi Redmi Note 12 Pro+ 5G#/category=Smartphones/pageNo=2;Redmi Note 12+;Redmi Note 12 Pro+ 5G
2122789;Xiaomi;128 GB;249, €;199, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2122789&productName=Xiaomi Redmi Note 11s#/category=Smartphones/pageNo=3;Redmi Note 11S;Redmi Note 11S
2129879;Xiaomi;128 GB;499, €;449, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2129879&productName=Xiaomi 12T 128GB Black#/category=Smartphones/pageNo=2;12T;12T
3300062;Xiaomi;256 GB;999, €;799, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300062&productName=Xiaomi 13 5G 256GB Black#/category=Smartphones/pageNo=3;13;13 5G
3300063;Xiaomi;128 GB;249, €;209, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300063&productName=Xiaomi Redmi Note 12#/category=Smartphones/pageNo=2;Redmi Note 12;Redmi Note 12
3300065;Xiaomi;128 GB;299, €;249, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300065&productName=Xiaomi Redmi Note 12 5G#/category=Smartphones/pageNo=2;Redmi Note 12;Redmi Note 12 5G
3300067;Xiaomi;128 GB;399, €;349, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300067&productName=Xiaomi Redmi Note 12 Pro 5G#/category=Smartphones/pageNo=2;Redmi Note 12;Redmi Note 12 Pro 5G
